# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
2.20005e-05     	mag(U)          	0.00000000e+00	(-1.95978500e-03 -9.80611000e-03 -1.09375000e-01)	0	3.76221474e-01	(-1.62530540e-01 -1.36965201e-01 -3.68147146e-01)	20
3.64017e-05     	mag(U)          	0.00000000e+00	(-1.95978500e-03 -9.80611000e-03 -1.09375000e-01)	0	3.27606269e-01	(-1.62530540e-01 -1.36965201e-01 -3.68145337e-01)	20
5.36833e-05     	mag(U)          	0.00000000e+00	(-1.95978500e-03 -9.80611000e-03 -1.09375000e-01)	0	3.30632651e-01	(-1.62530539e-01 -1.36965201e-01 -3.68143166e-01)	20
7.44211e-05     	mag(U)          	0.00000000e+00	(-1.95978500e-03 -9.80611000e-03 -1.09375000e-01)	0	3.33096269e-01	(-1.62530538e-01 -1.36965201e-01 -3.68140562e-01)	20
9.93055e-05     	mag(U)          	0.00000000e+00	(-1.95978500e-03 -9.80611000e-03 -1.09375000e-01)	0	3.35111690e-01	(-1.62530537e-01 -1.36965201e-01 -3.68137436e-01)	20
0.000129165     	mag(U)          	0.00000000e+00	(-1.95978500e-03 -9.80611000e-03 -1.09375000e-01)	0	3.36785835e-01	(-1.62530534e-01 -1.36965201e-01 -3.68133686e-01)	20
0.00016499      	mag(U)          	0.00000000e+00	(-1.95978500e-03 -9.80611000e-03 -1.09375000e-01)	0	3.38198780e-01	(1.36928623e-01 1.62555698e-01 -3.68130608e-01)	19
0.000207972     	mag(U)          	0.00000000e+00	(-1.95978500e-03 -9.80611000e-03 -1.09375000e-01)	0	3.39431931e-01	(1.36928629e-01 1.62555698e-01 -3.68125210e-01)	19
0.000259549     	mag(U)          	0.00000000e+00	(-1.95978500e-03 -9.80611000e-03 -1.09375000e-01)	0	3.40735606e-01	(1.11051553e-01 -1.81269203e-01 -3.68151337e-01)	21
0.000321429     	mag(U)          	0.00000000e+00	(-1.95978500e-03 -9.80611000e-03 -1.09375000e-01)	0	3.41941055e-01	(1.81232013e-01 1.11163021e-01 -3.68161948e-01)	19
0.000395657     	mag(U)          	0.00000000e+00	(-1.95978500e-03 -9.80611000e-03 -1.09375000e-01)	0	3.43042786e-01	(1.81232034e-01 1.11163022e-01 -3.68152625e-01)	19
0.000484757     	mag(U)          	0.00000000e+00	(-1.95978500e-03 -9.80611000e-03 -1.09375000e-01)	0	3.44018849e-01	(1.81232064e-01 1.11163022e-01 -3.68141434e-01)	19
